cd,sb,sc,sd,se
0,0.6123484067899198,0,0,0
0,8.199901847101914,0,0,0
0,13.471664945169731,0,0,0
0,16.767212735612397,0,0,0
0,17.301625897318935,0,0,0
1.4000000000000001,0.2282389516481144,0,0,0
1.7999999999999998,0.5010123328372255,0,0,0
1.7,0.7125508733573649,0,0,0
4.6000000000000005,0.172570914621666,0,0,0
4.6000000000000005,0.28390698857436025,0,0,0
0,0,1.0930076900706378,0,0
0,0,2.309171176373394,0,0
0,0,2.324565651006322,0,0
0,0,5.449643977382864,0,0
0,0,5.58819424797081,0,0
0.3,0,0.18473369412649757,0,0
1.2,0,0.4926231843742736,0,0
0.8999999999999999,0,0.8620905725164285,0,0
0.8999999999999999,0,1.0468242667260563,0,0
1,0,1.0468242667260563,0,0
0,0,0,0.23231911467763494,0
0,0,0,0.3624178188087921,0
0,0,0,1.0017600224053902,0
0,0,0,1.2141816884630727,0
0,0,0,2.045470239437041,0
0,0,0,3.9559298849839477,0
0.19999999999999998,0,0,0.5650000869693393,0
0.02,0,0,1.0571448994967674,0
0.06,0,0,1.162524849921287,0
0.02,0,0,1.4775495695558347,0
0,0.27834018493183693,1.246952435291511,0.7973192015131585,0
0,0.4620447069387521,1.8165479922762213,0.44419414736640855,0
0,0.534413154992973,1.8473369412649758,1.1225659623428605,0
0,3.373483041437993,3.1712617477814207,0.9500922514464618,0
0,0,0,0,0.786216678966667
0,0,0,0,0.9904288033425638
0,0,0,0,1.715381844867808
0,0,0,0,2.144227306773976
0,0,0,0,4.940732162384106
0,0,0,0,5.3168085247238395
0,0,0,0,5.354441901058824
0,0,0,0,5.669242746447749
0,0.2616397738038619,0.5695955569847101,0,1.8583303318022821
0,0.1002024665674451,0.7851181999059919,0,3.3388682344924363
0,0.09463566286480025,1.0776132157148108,0,3.5226591464491226
0,0.25050616641861273,1.062218741081883,0,3.492027327177039
1.2,0.022267214790538857,0.21552264314296216,0,0.051053031103163754
0.8999999999999999,0.05010123328372255,0.24631159215942675,0,0.6432681918484019
1.2999999999999998,0.02783401849318369,0.29249501580881887,0,0.6024257670099807
1.4000000000000001,0.08350205546953082,0.3848618627750825,0,2.113595487501892
0,0.19483812939216438,0,0.09292764588443557,1.3988530520943574
0,0.12246968133794346,0,0.057615140436306625,3.532869751647878
0,1.1189275436704784,0,0.12638159840015606,3.5430803586845427
0,0.6012147994046706,0,0.15240133925315064,5.830256151106457
1.5,0.05566803698636738,0,0.0260197408463038,0.7657954665474564
1.2,0.16700411097914264,0,0.009292764588443556,1.429484870815069
3,0.03896762588845312,0,0.01115131750412503,0.6024257670099807
0,0,0.415650811763837,0.0018585529176887111,0.051053031103163754
0,0,0.18473369412649757,0.0037171058347083437,0.31652879277345053
0,0,0.6003845059734648,0.018585529176887113,0.786216678966667
0,0,0.831301623527674,0.04274671711085483,3.726871270641229
0,0,0.954457419482692,0.10779606920988735,5.003197047301368
1.2,0,0.20012816862087485,0.0018585529176887111,0.5105303110316376
1.7,0,0.3848618627750825,0.009292764588443556,0.4084242487517937
1.5999999999999999,0,0.3540729137863279,0.0074342116694166875,0.7760060726651662
0,0.189271325749641,0.7389347765614104,0.057615140436306625,1.6336969951909657
0,0.1614373072364168,0.46183423538551904,0.03531250544812894,2.123806094538556
0,0.2616397738038619,0.3540729137863279,0.15983555091587653,2.501598523650684
0,0.2672065775465878,0.3848618627750825,0.08363488128930122,2.9508651983436445
0,0.11133607395269426,0.6157789803292917,0.08177632835689277,3.7677136951120684
0,0.21153854052013937,1.1237966393364929,0.09292764588443557,4.778563710873843
1.4000000000000001,0.03896762588845312,0.3694673881421549,0.0037171058347083437,0.6228469794291913
1,0.09463566286480025,0.3848618627750825,0.020444082092568587,1.2865363836968038
0.5,0.1169028776954201,0.46183423538551904,0.01115131750412503,2.4811773114152644
