co,de,lo,pa,sp
0.0520205143093057,0.0148904707631886,0,0,0
0.0666116092320895,0.0066652685900736,0,0,0
0.0697258953903242,0.017391450828777,0,0,0
0.0959092016661961,0.00884297767587848,0,0,0
0.0853153262610602,0.0291308878180692,0,0,0
0.110313255814382,0.0150052469952433,0,0,0
0.186984043467001,0,0.0147454326039826,0,0
0.232103757330683,0,0.0129513585722358,0,0
0.236498825642435,0,0.0117248595661455,0,0
0.308553908871868,0,0.0190387630131906,0,0
0.352943765568433,0,0.0294574462729222,0,0
0.406875991208181,0,0.02160227413344,0,0
0,0.0640881360013445,0.0279834927645133,0,0
0,0.0616503621359804,0.0334775625245222,0,0
0,0.075790638775644,0.035213510000674,0,0
0,0.069950715456739,0.0814616189198148,0,0
0,0.0607370337203318,0.0945059414391712,0,0
0,0.125742548335074,0.0764157806548102,0,0
0.0801947532397613,0.0292500612953998,0.0387338509500361,0,0
0.139816323674505,0.0236918551319779,0.0142052654482255,0,0
0.12432570421746,0.0307755667735961,0.0247957057123174,0,0
0.133188783940177,0.0309559281575026,0.0257522441362616,0,0
0.112281918931028,0.0341678423365554,0.0539355216753292,0,0
0.150694431074899,0.0318603278759637,0.0194774832165404,0,0
0.0527382203103244,0,0,0.105044230728973,0
0.0710404779711965,0,0,0.0951155108149713,0
0.0636836183835938,0,0,0.117729663862352,0
0.0680889854462727,0,0,0.122873878150399,0
0.0615065302704767,0,0,0.137937208809377,0
0.0852226035623766,0,0,0.138715471118285,0
0,0.035128010640988,0,0.045486939867239,0
0,0.0156907100131687,0,0.105017508412673,0
0,0.021449476857352,0,0.106870899246088,0
0,0.0305896987504025,0,0.10385002547226,0
0,0.029627500402126,0,0.124286273840317,0
0,0.0193655514180091,0,0.15532265138842,0
0.0358408911459355,0.00957997372355424,0,0.05279586811594,0
0.0371949035164648,0.0127820837705571,0,0.0647608203507559,0
0.0388320220902954,0.00832863126643378,0,0.0813758854684275,0
0.0468581650435335,0.0212362978584229,0,0.0741092879926552,0
0.0351255178081649,0.0118969615152741,0,0.0997139926518823,0
0.0568320712449965,0.0111793506127772,0,0.125157955166405,0
0,0,0.0263433457425988,0.160385939347679,0
0,0,0.0329320477979473,0.168547134977996,0
0,0,0.0298330379441198,0.172772498082749,0
0,0,0.0342893032876912,0.174493285422518,0
0,0,0.0206796348160356,0.203511552473364,0
0,0,0.0246393388705793,0.230154647573105,0
0.0672448933409742,0.00712765484588728,0.00658759969108801,0.108586620698288,0
0.0642365406542701,0.0054817262908695,0.0107994696951864,0.126463729756269,0
0.0895395546860869,0.00683413449481376,0.00786008379168633,0.111079524340459,0
0.0395041560478495,0.00455327746830175,0.0189276404869049,0.160232744031574,0
0.0370938942648095,0.00596753347222997,0.0103028845488314,0.17110095223786,0
0.0989596145105781,0.00982843666896862,0.00960269347589016,0.120642609792148,0
0.0403358660325594,0,0,0,0.0484159786878664
0.0570594539645186,0,0,0,0.0578258835094088
0.0511938139532114,0,0,0,0.0724241490080639
0.0732046035248678,0,0,0,0.0816276011222523
0.0991980733558708,0,0,0,0.167368725569095
0.155672098323153,0,0,0,0.186549046517075
0,0.00696563374690535,0,0,0.00880728771485658
0,0.0138897582796004,0,0,0.0235603075350948
0,0.0304593452712241,0,0,0.0231765861543689
0,0.00903988634383662,0,0,0.073003920950513
0,0.0107222331405181,0,0,0.0742057401348417
0,0.0187074831182413,0,0,0.0801386110270019
0,0,0.0444339658781736,0,0.0888474604318656
0,0,0.03651141850479,0,0.117064522318934
0,0,0.0508725091297723,0,0.146319127282557
0,0,0.0391516534814048,0,0.17549638034667
0,0,0.0529299928313939,0,0.189573629799788
0,0,0.0711145631750697,0,0.25323118244257
0,0.0581732770153663,0.025118797665562,0,0.0702306158093052
0,0.059817007938275,0.0184685151381935,0,0.0863657674826842
0,0.0741534364333903,0.0708156860788403,0,0.0356200766541717
0,0.0792172929756018,0.0332794558106525,0,0.0716748105868872
0,0.0736957947783284,0.0463270828818657,0,0.0702817450443001
0,0.0506089812528106,0.023530534689868,0,0.134516371617553
0.121612245493513,0.0031623958097251,0.0227969513769022,0,0.0279283001443549
0.0974225141988648,0.00864939176680436,0.00462383552651542,0,0.0815547358014787
0.127272803183147,0.00610924390813969,0.0136620145914323,0,0.0854966396903212
0.112031113453873,0.0116965657352869,0.0132898802252365,0,0.103640100400906
0.117773726129534,0.0066806687891773,0.00718762785848499,0,0.120843382325023
0.160002440126499,0.0104801746199977,0.0174965788730848,0,0.11081421767694
0,0,0,0.0826308217618936,0.0374395834879255
0,0,0,0.109610317098669,0.0793647860128588
0,0,0,0.137575951923104,0.0546119485126549
0,0,0,0.109299131387729,0.119395173375435
0,0,0,0.141968236646786,0.120755387946105
0,0,0,0.104490397819437,0.158490214809512
0.0366294159455062,0,0,0.0684819478768876,0.0391006756300129
0.0447371090943131,0,0,0.0949549712486415,0.0245752167596324
0.0600421998157616,0,0,0.0913173579951393,0.0273644198053719
0.0387349966445271,0,0,0.102843306277538,0.0384715837523623
0.0730346263098497,0,0,0.0996122211151703,0.0328553036877868
0.0867566621362665,0,0,0.0871844382779603,0.0327806499811082
0.0263106884519012,0.00604280079182353,0,0.066244837412622,0.0648110274031943
0.0489124148547787,0.00492376470009258,0,0.0467840938545394,0.0791913945790585
0.0475888461725708,0.00459134311014128,0,0.0982657631180762,0.056889334574377
0.0605088753210963,0.00821455113724787,0,0.0805784772946742,0.0694172421464972
0.0897161760378003,0.0130905675909434,0,0.108843871549711,0.0326018435312009
0.054134199927089,0.00859140364949674,0,0.0764678428538478,0.115070635754357
0,0,0.0197582238160677,0.0689760778314012,0.0432176561556408
0,0,0.0182069793033735,0.0795941075518553,0.0671834025370667
0,0,0.0259476182227513,0.128164192758792,0.0535962372241478
0,0,0.0166461178884895,0.122780466981029,0.0823665143239915
0,0,0.0061349430088765,0.114154289518518,0.185762158729101
0,0,0.0131820496355853,0.141321144869172,0.177977615735528
0.0212817855684828,0,0.0168298926073286,0.0677327817730187,0.05896903496469
0.0448159626308016,0,0.0242777011182673,0.066705019589605,0.0321264683652687
0.0339444147201775,0,0.021403682494323,0.0707487426521255,0.0785543515244789
0.0494265647088718,0,0.0134085899867226,0.0919726331017124,0.0816929198773672
0.0458836698287225,0,0.0267094773026289,0.0902887445099315,0.0944173670135119
0.071181407061032,0,0.00687981741834191,0.108050940311439,0.116077673853977
0,0.00879914375581601,0.012099936025887,0.107717918193655,0.049423644487158
0,0.0110872843561276,0.01841202878606,0.107009859229665,0.0578603856806115
0,0.0117198770965669,0.0223695140416705,0.0877876974945467,0.0762737251326027
0,0.0141165685178035,0.018037023446919,0.133284952616713,0.0759011156744428
0,0.0119857403914735,0.0341853622588937,0.14757977797815,0.080727504058157
0,0.00788515764711661,0.0229189683445553,0.15216166791684,0.0948353764305193
0.00102827511634066,0.00530364844023676,0.0046050593939379,0.0708183217517422,0.0331757099794434
0.0228644102850901,0.0046405460057861,0.00833473312445077,0.0361689416984928,0.0481614609323169
0.0260842366874494,0.00454840510670922,0.0101051233947311,0.0658886638147736,0.0288338289691608
