co,de,lo,pa,sp
0.0329285884826745,0.00926118593212703,0,0,0
0.0462995628879838,0.00694035813840697,0,0,0
0.049744953469137,0.00497755818855019,0,0,0
0.0505933771075208,0.0114056805219649,0,0,0
0.0592457572418274,0.00743443185369829,0,0,0
0.0851801418657757,0.012880055762115,0,0,0
0.122620964027421,0,0.0438979189929611,0,0
0.116564238767044,0,0.0519855736712994,0,0
0.120210139127868,0,0.0772806419315498,0,0
0.1666003237304,0,0.0362724548166078,0,0
0.155158188861293,0,0.0529945213877554,0,0
0.148594069514461,0,0.0603129483170894,0,0
0,0.0583995090501841,0.0313475650016479,0,0
0,0.0758982430709347,0.0341378937534595,0,0
0,0.0502149767202098,0.069370202472216,0,0
0,0.0776890531669159,0.0475073873097516,0,0
0,0.0684330458875772,0.0851553990604937,0,0
0,0.0873364637795063,0.0976568727869886,0,0
0.0633220628667903,0.0183123937705667,0.0211337206309756,0,0
0.0678908449927342,0.0172186433649794,0.0369047001886262,0,0
0.0772858888205775,0.018107477617713,0.0282416881334096,0,0
0.0623965807532605,0.0144706103074117,0.0535744552440434,0,0
0.08432300680225,0.0183048079680635,0.0339655973596207,0,0
0.149845607607208,0.0214414823537059,0.0503230558839318,0,0
0.0333750611234113,0,0,0.0609354527240695,0
0.0521592142079715,0,0,0.0527332635903702,0
0.0523385632815078,0,0,0.0600317614422792,0
0,0.0101681130661202,0,0.0348121241920361,0
0,0.0132491149268874,0,0.0376266574193155,0
0,0.0180277369474547,0,0.0579014623780565,0
0,0.011124502410266,0,0.0660230064913889,0
0,0.00949945258034286,0,0.19517248207821,0
0,0.00881312504468776,0,0.205151557170558,0
0.0266887856234054,0.00345959300362852,0,0.040832152978454,0
0.0197504314165399,0.00706283179660626,0,0.0463514061921795,0
0.0211027232586221,0.0024215766903869,0,0.0500842128037779,0
0.0251708707541519,0.00291615860926029,0,0.0664674295196538,0
0.0216323306837458,0.00962297807838728,0,0.0659728710794002,0
0.021678738137574,0.00254393152615226,0,0.0835708578038559,0
0,0,0.0182187024997864,0.117293237225411,0
0,0,0.0284759261520358,0.117078550891203,0
0,0,0.0227300296580138,0.141730541782827,0
0,0,0.0341272529069594,0.162524536905026,0
0,0,0.044956341022236,0.195669898569338,0
0,0,0.058504206898103,0.183032338455511,0
0.0106282776481197,0.00515978192704477,0.0221411456678745,0.0732387041167215,0
