co,de,lo,pa,sp
0.0451680994278674,0.00822924585531434,0,0,0
0.0568871213816058,0.0102978002656285,0,0,0
0.0592233802968081,0.0118167653808258,0,0,0
0.0805387716908663,0.0122939940517416,0,0,0
0.0827758958692513,0.0120073422680054,0,0,0
0.0886256765476673,0.0106086752113694,0,0,0
0.155185528448539,0,0.00821663939480295,0,0
0.195397800096023,0,0.0082948890829368,0,0
0.170583267804079,0,0.0440023427781151,0,0
0.181103091412593,0,0.0420385290192763,0,0
0.242331946946655,0,0.0109095386746302,0,0
0.241999489952994,0,0.0441181582187328,0,0
0,0.0841918462969623,0.0121624633187869,0,0
0,0.0868469616791447,0.0208340719545034,0,0
0,0.0740701712879824,0.0373240501157244,0,0
0,0.0700101283933771,0.0554286612374436,0,0
0,0.0792145104704235,0.0484212936340104,0,0
0,0.0800410991733641,0.0512160178963114,0,0
0.12623706709398,0.0162417103083784,0.0236608792355269,0,0
0.133583583350432,0.0227989010694187,0.0199178003042987,0,0
0.154347610168629,0.0222663559139603,0.0136900629070233,0,0
0.149559881182214,0.0236681155003659,0.0192953127884438,0,0
0.169753565114522,0.0185998589135909,0.0189108121284393,0,0
0.199591990564372,0.0247042481436068,0.0200210501617459,0,0
0.054435054674924,0,0,0.112928519964611,0
0.0838685556442638,0,0,0.0917092709274756,0
0.0399054909541361,0,0,0.140598614597976,0
0.0814704694087836,0,0,0.106938250993534,0
0.0823005822423588,0,0,0.114964830446323,0
0.0738965674878089,0,0,0.18803462140687,0
0,0.00705031827856024,0,0.0604165810447709,0
0,0.00917214422630326,0,0.0864714800756697,0
0,0.012457126562938,0,0.107146675177354,0
0,0.011961000265667,0,0.139553627029629,0
0,0.0155120537083346,0,0.136851616552213,0
0,0.0165277412941121,0,0.160371879464801,0
0.048197795229516,0.00714680163007147,0,0.047613177307504403,0
0.0480316819990483,0.0123441493984123,0,0.0441724753784126,0
0.0443654708390002,0.0084292317587613,0,0.0549314550469273,0
0.0508035568806752,0.00761930393687034,0,0.069274856988364,0
0.0540414999084932,0.00619328704978776,0,0.0728039348716816,0
0.0819586344053846,0.013057982886833,0,0.11446331972127,0
0,0,0.0317938341035584,0.132850886879149,0
0,0,0.0177040644474285,0.165062477255309,0
0,0,0.0227028659250468,0.181497483938624,0
0,0,0.0186023143763222,0.188315209478752,0
0,0,0.0198271865067163,0.195252579162959,0
0,0,0.01852730763067,0.263319026429757,0
0.0308984731161355,0.00628144891667668,0.00726454925678462,0.100452710484595,0
0.0561436537284063,0.0100916630009975,0.0132141615657551,0.124598596871714,0
0.0647568470637407,0.00918659941666836,0.0214985823258798,0.136388419731338,0
0.0553411136508146,0.0068000939740101,0.0205571881140214,0.152461018926363,0
0.0397726304334113,0.00981642983666912,0.00946060316623458,0.1813107435937,0
0.0381363450194778,0.0174937862043504,0.0117343137654918,0.191373159402482,0
0.0587253907003285,0,0,0,0.0265097117951702
0.0416636390833655,0,0,0,0.0605157683707366
0.0638857589975062,0,0,0,0.0797298562814244
0.056330751943296,0,0,0,0.09120643915401
0.0950481651682578,0,0,0,0.0571847198975985
0.128647121961187,0,0,0,0.0660306659393285
0,0.00477455876210578,0,0,0.0746102152459296
0,0.0116103330744198,0,0,0.101068268088765
0,0.0179811899284281,0,0,0.103642235026476
0,0,0.0897509543069149,0,0.0503788554429822
0,0,0.0430799783828352,0,0.110434456025158
0,0,0.0747448079627474,0,0.109863841436
0,0,0.0411695160582246,0,0.15592371625995
0,0,0.025160303701059,0,0.209005186739038
0,0,0.0251627764474951,0,0.267288176424922
0,0.0258606236961772,0.0161593011565467,0,0.0810032778334533
0,0.0404937170155989,0.0220114638464726,0,0.0700776393951453
0,0.0352904164130541,0.0210833826611523,0,0.0948191698055394
0,0.0357244931750632,0.0273397284654772,0,0.0960037541855406
0,0.0512700725009787,0.0255779789657907,0,0.147114569506334
0,0.054992623037184,0.04374366202855,0,0.145093887006433
0.0465768360880398,0.00531085331992954,0.052937432615743,0,0.0286138464026091
0.0565008692803454,0.00446640338355554,0.0331501283185597,0,0.0637757593722624
0.0722490655279537,0.00674865559799414,0.0264457211907947,0,0.0672679451093106
0.0868831004670108,0.0104979348581623,0.0329389313756954,0,0.0616555955022603
0.0939151813647588,0.0145606534191695,0.044725396340902,0,0.0831479477829707
0.097321760817031,0.00222838881899847,0.0377312710072592,0,0.121922081287456
0,0,0,0.0511803569760125,0.0187192955636702
0,0,0,0.0676728232287413,0.0160931245805316
0,0,0,0.0858156721103985,0.0329790726299784
0,0,0,0.101206006847331,0.0261983999726572
0,0,0,0.090395746870172,0.0542645417938823
0,0,0,0.120651262417005,0.0276534310703085
0.0203835140292388,0,0,0.034886386027924,0.0529195011827666
0.0274005769298023,0,0,0.0307333889940971,0.0538127866697116
0.0415883633424984,0,0,0.0425698254206994,0.0335376056120343
0.0238191045774417,0,0,0.0504386263799742,0.0437713289533488
0.0261738633898849,0,0,0.0476825394342187,0.0657281412246955
0.0322287005450186,0,0,0.0976471550843142,0.013278824466951
0.0329461644131903,0.00409776370400577,0,0.0325574370337447,0.0267639656129335
0.0243660100480735,0.00262655580777638,0,0.053597466104057,0.0475790250009648
0.0253197926606414,0.00233240740715985,0,0.050617688905316,0.0537003831936568
0.029862532080308,0.0015839979290736,0,0.0554271489336519,0.0483740912709001
0.0330193899706118,0.00499641851982685,0,0.0380957693569683,0.0599560470043303
0.0329898031320028,0.00140626856385077,0,0.0651347988641771,0.0405220846765525
0,0,0.0110803603695373,0.0760053534794072,0.0523705442730189
0,0,0.010163414056241,0.0906598960205505,0.0755812123333475
0,0,0.0241066939686534,0.119107312095955,0.0925360792830225
0,0,0.0144827997655747,0.112155594301843,0.132764955183831
0,0,0.0111451581520223,0.140699116918666,0.143457250793282
0.0292215753817411,0,0.0107512244242604,0.076063882960968,0.0554996633305376
0.024116183069034,0,0.0123338682976837,0.0807156757544864,0.0575057750576945
0.0525673035550911,0,0.0135502747648399,0.0894102276346111,0.0427816573046221
0.0388776864295295,0,0.0152504343016654,0.0786599836166878,0.0880044403558926
0.0316262273429813,0,0.0121156170284861,0.108915886134009,0.0822519025074948
0.0269219909915149,0,0.0166340415805808,0.0740597028710663,0.127015255213585
0,0.00335835923822251,0.00168865336000777,0.0466360263653236,0.0342053211575879
0,0.00701823438738046,0.00618999118433696,0.0577825036894305,0.02447646356194
0,0.00337493036564478,0.00622921401702015,0.122456831468286,0.0335214016642478
0,0.00497966571958728,0.0108381412908903,0.124040469950666,0.0433030862598314
0,0.00706013236051435,0.00695150790122075,0.154846862141217,0.0408182036196291
0.00784185801273315,0.00242162481144401,0.0138322006003573,0.0436805329912162,0.0330281053450111
0.0325741799056639,0.00138102868688596,0.00282246407959484,0.0896876460103575,0.0935110131308172
0.0187228085759662,0.00465630029423535,0.00907998788064576,0.115556808755757,0.0753666016823943
0.0508708919111396,0.00172676233324965,0.01085228135118,0.101040984276732,0.0775705724078121
0.0420644954691329,0.00234277902334291,0.00141278927112458,0.109154325557507,0.0932391513550924
0.0332216112075259,0.00600871170873684,0.00486302259246291,0.15673417626813,0.121414410623031
